layers	LBPURC4201_assembly_Sourdough	ASM622828v1_Beer	ASM622820v1_BeerKeg	ASM5041081v1_TomatoeFruit	ASM3988027v1_TenebrioMolitorFeces	ASM276217v1_FemaleGut	ASM211734v1_WheatBeer	ASM211732v1_BrewerySurface	ASM167680v1_TraditionalKoreanKimichi	Reference_45709_F01
ASM167680v1_TraditionalKoreanKimichi	0.895448121566689	0.851374383943868	0.891109821303261	0.88387469256883	0.902706792344843	0.942825727044151	0.885368939206968	0.808717400856954	1.0	0.90145075752198
ASM211732v1_BrewerySurface	0.784343615998054	0.7795468486422	0.788367979046918	0.783591867589714	0.795370634390335	0.781182897533635	0.806545911832214	1.0	0.773473251857229	0.775321285314415
ASM211734v1_WheatBeer	0.81356841912989	0.788404976660684	0.806708681294408	0.804367451817109	0.797422814590652	0.794312963020671	1.0	0.729855093129661	0.778579950104737	0.777536835278776
ASM276217v1_FemaleGut	0.83744872099184	0.790579216922126	0.834647536848623	0.81275995710889	0.845676223410301	1.0	0.832053677325803	0.74492916649633	0.865996467748589	0.833637619997323
ASM3988027v1_TenebrioMolitorFeces	0.899940426525607	0.807095391056431	0.882894113878323	0.819234689217058	1.0	0.854876892831803	0.848147671636495	0.7723959123431	0.84775117350001	0.843821435739111
ASM5041081v1_TomatoeFruit	0.882253703513483	0.857623636062709	0.873935983011143	1.0	0.875828198583446	0.8830481900437	0.917412769899347	0.809823342521765	0.884133091145632	0.88033029822742
ASM622820v1_BeerKeg	0.902328207546165	0.822850748615071	1.0	0.825339182111669	0.884776537241689	0.852453194437736	0.869231509250282	0.768505583405113	0.839261882195485	0.837997948780664
ASM622828v1_Beer	0.807987899445727	1.0	0.815265282081149	0.795487430687944	0.806480502826127	0.799555742009407	0.844472462877173	0.752984985753836	0.788058836621899	0.796308569977833
LBPURC4201_assembly_Sourdough	1.0	0.811364794526798	0.903370821194944	0.830037402571769	0.899065006664815	0.855422018930779	0.86835516592644	0.767732132288762	0.842418080057311	0.838409709415526
Reference_45709_F01	0.917481626717723	0.880587034194412	0.915867250662211	0.90149017274721	0.923279529077364	0.930887321688919	0.907399767172871	0.827370362358538	0.922436184350417	1.0
