module,genome_name,db_name,module_name,module_class,module_category,module_subcategory,module_definition,stepwise_module_completeness,stepwise_module_is_complete,pathwise_module_completeness,pathwise_module_is_complete,proportion_unique_enzymes_present,enzymes_unique_to_module,unique_enzymes_hit_counts,enzyme_hits_in_module,gene_caller_ids_in_module,warnings
M00005,P1211_Sourdough_BE,P1211_Sourdough_BE,"PRPP biosynthesis, ribose 5P => PRPP",Pathway modules,Carbohydrate metabolism,Central carbohydrate metabolism,K00948,1.0,True,1.0,True,1.0,K00948,2,"K00948,K00948","1606,524",
M00008,P1211_Sourdough_BE,P1211_Sourdough_BE,"Entner-Doudoroff pathway, glucose-6P => glyceraldehyde-3P + pyruvate",Pathway modules,Carbohydrate metabolism,Central carbohydrate metabolism,"K00036 (K01057,K07404) K01690 K01625",0.5,False,0.5,False,,No enzymes unique to module,,"K00036,K07404","1429,1652","K00036 is present in multiple modules: M00004/M00006/M00008,K07404 is present in multiple modules: M00004/M00006/M00008"
M00308,P1211_Sourdough_BE,P1211_Sourdough_BE,"Semi-phosphorylative Entner-Doudoroff pathway, gluconate => glycerate-3P",Pathway modules,Carbohydrate metabolism,Central carbohydrate metabolism,"K05308 K00874 K01625 (K00134 K00927,K00131,K18978)",0.5,False,0.6,False,,No enzymes unique to module,,"K00134,K00874,K00927","1331,353,1330","K00134 is present in multiple modules: M00001/M00002/M00003/M00308/M00552/M00165/M00611/M00612,K00874 is present in multiple modules: M00308/M00631/M00061,K00927 is present in multiple modules: M00001/M00002/M00003/M00308/M00552/M00165/M00611/M00612"
M00631,P1211_Sourdough_BE,P1211_Sourdough_BE,"D-Galacturonate degradation (bacteria), D-galacturonate => pyruvate + D-glyceraldehyde 3P",Pathway modules,Carbohydrate metabolism,Other carbohydrate metabolism,"K01812 K00041 (K01685,K16849+K16850) K00874 (K01625,K17463)",0.2,False,0.2,False,,No enzymes unique to module,,K00874,353,K00874 is present in multiple modules: M00308/M00631/M00061
M00061,P1211_Sourdough_BE,P1211_Sourdough_BE,"D-Glucuronate degradation, D-glucuronate => pyruvate + D-glyceraldehyde 3P",Pathway modules,Carbohydrate metabolism,Other carbohydrate metabolism,"K01812 K00040 (K01686,K08323) K00874 (K01625,K17463)",0.2,False,0.2,False,,No enzymes unique to module,,K00874,353,K00874 is present in multiple modules: M00308/M00631/M00061
M00632,P1211_Sourdough_BE,P1211_Sourdough_BE,"Galactose degradation, Leloir pathway, galactose => alpha-D-glucose-1P",Pathway modules,Carbohydrate metabolism,Other carbohydrate metabolism,K01785 K00849 K00965 K01784,0.75,True,0.75,True,1.0,K01785,4,"K00849,K01784,K01784,K01784,K01785,K01785,K01785,K01785","26,2610,25,2240,31,651,746,1298","K00849 is present in multiple modules: M00632/M00554,K01784 is present in multiple modules: M00632/M01004"
M00552,P1211_Sourdough_BE,P1211_Sourdough_BE,"D-galactonate degradation, De Ley-Doudoroff pathway, D-galactonate => glycerate-3P",Pathway modules,Carbohydrate metabolism,Other carbohydrate metabolism,K01684 K00883 K01631 K00134 K00927,0.4,False,0.4,False,,No enzymes unique to module,,"K00134,K00927","1331,1330","K00134 is present in multiple modules: M00001/M00002/M00003/M00308/M00552/M00165/M00611/M00612,K00927 is present in multiple modules: M00001/M00002/M00003/M00308/M00552/M00165/M00611/M00612"
M00129,P1211_Sourdough_BE,P1211_Sourdough_BE,"Ascorbate biosynthesis, animals, glucose-1P => ascorbate",Pathway modules,Carbohydrate metabolism,Other carbohydrate metabolism,K00963 K00012 K00699 K01195 K00002 K01053 K00103,0.1428571428571428,False,0.1428571428571428,False,,No enzymes unique to module,,K00963,1363,K00963 is present in multiple modules: M00129/M00854/M00549
M00114,P1211_Sourdough_BE,P1211_Sourdough_BE,"Ascorbate biosynthesis, plants, fructose-6P => ascorbate",Pathway modules,Carbohydrate metabolism,Other carbohydrate metabolism,K01809 K17497 K00966 K10046 K14190 K10047 K17744 K00225,0.125,False,0.125,False,,No enzymes unique to module,,K01809,1861,K01809 is present in multiple modules: M00114/M01000/M01006
M00550,P1211_Sourdough_BE,P1211_Sourdough_BE,"Ascorbate degradation, ascorbate => D-xylulose-5P",Pathway modules,Carbohydrate metabolism,Other carbohydrate metabolism,K02821+K02822+K03475 K03476 K03078 K03079 K03077,0.4,False,0.4,False,1.0,"K02821,K02822,K03077,K03475","2,2,1,2","K02821,K02821,K02822,K02822,K03077,K03475,K03475","2775,72,2776,71,84,2777,70",
M00854,P1211_Sourdough_BE,P1211_Sourdough_BE,"Glycogen biosynthesis, glucose-1P => glycogen/starch",Pathway modules,Carbohydrate metabolism,Other carbohydrate metabolism,"(K00963 (K00693+K00750,K16150,K16153,K13679,K20812)),(K00975 (K00703,K13679,K20812)) (K00700,K16149)",1.0,True,1.0,True,,No enzymes unique to module,,"K00700,K00703,K00963,K00975,K00975","152,155,1363,153,154","K00700 is present in multiple modules: M00854/M00565,K00703 is present in multiple modules: M00854/M00565,K00963 is present in multiple modules: M00129/M00854/M00549,K00975 is present in multiple modules: M00854/M00565"
M00855,P1211_Sourdough_BE,P1211_Sourdough_BE,"Glycogen degradation, glycogen => glucose-6P",Pathway modules,Carbohydrate metabolism,Other carbohydrate metabolism,"(K00688,K16153) (K01196,((K00705,K22451) (K02438,K01200))) (K15779,K01835,K15778)",0.6666666666666666,False,0.6666666666666666,False,1.0,K00688,1,"K00688,K01835","156,1351",K01835 is present in multiple modules: M00855/M00549
M00565,P1211_Sourdough_BE,P1211_Sourdough_BE,"Trehalose biosynthesis, D-glucose 1P => trehalose",Pathway modules,Carbohydrate metabolism,Other carbohydrate metabolism,"K00975 K00703 (K00700,K16149) K01214 K06044 K01236",0.5,False,0.5,False,,No enzymes unique to module,,"K00700,K00703,K00975,K00975","152,155,153,154","K00700 is present in multiple modules: M00854/M00565,K00703 is present in multiple modules: M00854/M00565,K00975 is present in multiple modules: M00854/M00565"
