key,P1210_SD_BE,P2216_UniAntwerpt_BE,P2297_SD_Lesaf_BE,P2301_SD_Lale_BE,P2496_SD_IT,P2500_SD_IT,P2531_SD_IT,P2593_Unknown_BE,P2599_Fresh_Strawberry_BE,P2605_Fresh_Strawberry_BE,P2694_LMG_BE,P2695_Unknown_BE,P2710_SD_BE,P2771_Cococa_Vietnam_BE,P2795_Unknown_BE,P2796_Unknown_BE,P2928_Oganic_Rye_SD_BE,P2929_Organic_Rye_SD_BE,P2933_Rye_SD_BE,P2934_Rye_SD_BE,P3349_Bambara_BE,P3350_Sorghum_seso_BE,P3351_Finger_millet_BE,P3352_Finger_millet_BE,P3353_Maize_BE,P3354_OFSP_BE,P3401_Brown_teff_BE,P950_Fermented_Rice_BE,Reference
P1210_SD_BE,1.0,0.8781336583596832,0.8659475428296387,0.869696758553779,0.9108751110604364,0.8370883955538541,0.9553134352713664,0.9524578242980896,0.891072244478147,0.8910280856021843,0.821413770041795,0.8946786033912749,0.9085547778631644,0.8141597534262376,0.8790076319229949,0.9198650086318674,0.8680255676044735,0.8515033676893607,0.9183995905570764,0.8826615177107916,0.8906037831938182,0.8392206968520919,0.823821818447627,0.8274567416225078,0.8397180427082368,0.8727700397279442,0.8396923788266302,0.9125742676542656,0.8363687728129747
P2216_UniAntwerpt_BE,0.9069341974150156,1.0,0.925680168841934,0.9303740279928726,0.9052588348345876,0.8849389824130185,0.9048961440301532,0.903994447068612,0.8905540469836707,0.890962815603175,0.8423447727397626,0.9173600880216328,0.8934324713146076,0.8354416936218143,0.8608847940408557,0.9055992080737147,0.8987881327240267,0.8687416988725073,0.909521794851926,0.8752135499114698,0.8914951290694678,0.8546692120239019,0.8447788660147674,0.8438916568563383,0.8547332227852382,0.9176712001685486,0.8547315915891643,0.8924720599216311,0.8622447106574999
P2297_SD_Lesaf_BE,0.9051263922333552,0.9370351675059077,1.0,0.9972616824338816,0.8915625704692308,0.8587847990635867,0.9045785851691815,0.9040773702453854,0.8947051524519326,0.89437688583548,0.8400957620308042,0.9077003529930796,0.8956305115771512,0.8397606304533686,0.8577395156389263,0.8910066999897789,0.8992521805584479,0.8677481548370451,0.8972979185730889,0.8688733941834551,0.8947029906555157,0.8512576681833219,0.8472479126225053,0.8461526179848103,0.850302231081912,0.924944098984992,0.8506056922707378,0.91034848960804,0.8630992502041803
P2301_SD_Lale_BE,0.9102307855745884,0.9406395077206922,0.9947774740306302,1.0,0.8942537934444942,0.8600580308322305,0.9095662966515322,0.9090842287520144,0.8968991323973388,0.8970006642699422,0.8458263298985986,0.9114113009807128,0.8977790448983677,0.8429290252056275,0.8625794959856544,0.8936232874902063,0.9049824261440084,0.8697171941752031,0.8995488620397426,0.872362575927475,0.8969507606190915,0.8539208215371685,0.8485873707819346,0.8488374493928323,0.8529650748579369,0.9268535433071622,0.8529634381078212,0.9129905918874868,0.8655141943765227
P2496_SD_IT,0.9118656662513696,0.874874117119838,0.8531380206743334,0.8553505441322022,1.0,0.8504292465226782,0.9015494572914016,0.8994348978258141,0.9051919565558072,0.904773691411916,0.81292178170088,0.8962078273306024,0.9079060705559,0.8053165577661686,0.8902892453616775,0.9538789661139082,0.8728678697833824,0.8588979281595241,0.938016173097004,0.8897564175417101,0.9047337138625277,0.8362292486800651,0.8181356580236735,0.8220509204231617,0.8362289112387893,0.8740364631915923,0.8362273850469594,0.9212886379698412,0.824985791999131
P2500_SD_IT,0.803190299888849,0.8217645291404955,0.7864817770865972,0.7900307369676993,0.8169963823983781,1.0,0.8023895119604254,0.8006651230372592,0.8150852451599367,0.8146267128110568,0.780379987761743,0.8121298412278438,0.8169860310583337,0.7799006715869111,0.7906138607450572,0.8342511652476329,0.8172714086184902,0.7827329480280509,0.8160132087549428,0.7892021410208913,0.8148777957798251,0.7922554344015622,0.786554727140685,0.7913783006445224,0.7912695255162103,0.7967506994577012,0.7912672875375997,0.7972369241558859,0.7973658882000615
P2531_SD_IT,0.9988486319800176,0.9164600631574144,0.9070982388667546,0.9107046425861892,0.9453838763063804,0.8721152970795039,1.0,0.9960067665000806,0.9298603875470928,0.9293388768849732,0.8388855229097952,0.932385523034246,0.9309435266717202,0.8459668041497269,0.9020572046449288,0.9497769813614348,0.9128102651043848,0.891582936487894,0.956268754798983,0.9154624993600108,0.9289708781740244,0.8692208471328201,0.8513674194721691,0.8604246193559869,0.8696625102229878,0.9125700823821672,0.8696353831851817,0.9481448532379052,0.869200232595638
P2593_Unknown_BE,0.9902535779421524,0.9069678052061296,0.8983718948351942,0.9022966873760564,0.9372353878317736,0.8682759622176274,0.9902892047948312,1.0,0.922495230520559,0.9224637059648698,0.8364848451359138,0.9243021117046002,0.9250210936882964,0.8393697566515189,0.8934910345006216,0.942277089369136,0.902466938615184,0.8868497579644918,0.9478307968621262,0.906819422998416,0.9221302108142316,0.8645194417328382,0.8460900478794051,0.8522975879946632,0.8646276695300074,0.9033528413950526,0.8646119169145015,0.9398100017523866,0.8611544010253397
P2599_Fresh_Strawberry_BE,0.893918528730666,0.8652516633817805,0.859372335408074,0.8622527109181851,0.9112541283530028,0.853632357867286,0.8920344248772888,0.8904971402009749,1.0,0.9981700917474664,0.8062737608864652,0.8850617406439112,0.9983759597385132,0.8208015206779862,0.8612246970277867,0.90887301548773,0.8682052654938694,0.8469867798456822,0.9233957733950696,0.8767529715346225,0.9976269649393092,0.8409638376373831,0.8202640194410081,0.8264235824490069,0.8414453495841762,0.8560156600043941,0.841444131044108,0.91361057444759,0.8332459226225643
P2605_Fresh_Strawberry_BE,0.8935035453905723,0.8656871808686344,0.862772337699283,0.8649212328565284,0.9112735722784896,0.8533302673182913,0.8913815557545495,0.8899050221975822,0.9986176493869452,1.0,0.8095572951328677,0.8853724478755975,0.998138159772154,0.8211587602468892,0.8636139863849953,0.908619790966484,0.865615456625264,0.8491695579725977,0.9229292418899524,0.8762282944358043,0.9970271880133494,0.8430626153810727,0.8206962348750898,0.8261420793223606,0.8434144049003759,0.8545289718043991,0.8434131986331379,0.9132326653803912,0.8329275724087455
