layers	Reference	P815_Cocoa_CR	P800_Unknown_BE	P363_Unknown_BE	P360_Cocoa_CR	P3378_Banana_BE	P3335_RedCowpea_BE	P3334_WhiteCowpea_BE	P3333_Amaranth_BE	P3124_LMG_BE	P2809_Apricot_BE	P2764_Cocoa_VN	P2763_Cocoa_VN	P2746_Cocoa_VN	P2740_Qu_CN	P2712_SD_BE	P2711_SD_BE	P240_SD_IT	P2176_Unknown_BE	P2052_Cocoa_CR	P2029_Cocoa_CR	P2024_Cocoa_CR	P2020_Cocoa_CR	P187_SD_IT
P187_SD_IT	0.9796332815301853	0.9758713526868437	0.9883464412416852	0.977080820802005	0.9761760510328067	0.9794737180249853	0.9900833042053521	0.9899874302897759	0.9899021208791209	0.978828195812808	0.9899203247110622	0.9793456482045039	0.975918254568368	0.9764861538461539	0.9797279615861214	0.9794624137931035	0.9893756954689146	0.9999901930320151	0.9895053526734926	0.976774476010101	0.9763887190594059	0.977314204902577	0.9778269478155339	1.0
P2020_Cocoa_CR	0.9785171924482338	0.9927601049723758	0.9795694214876034	0.9952824917309814	0.992876783561644	0.9782557331730769	0.9776939448441246	0.9775810624249701	0.9776003552077062	0.9768766811684274	0.9775959386281587	0.9801471997621879	0.9929726542161856	0.9933327704194259	0.976689142324425	0.9752762462641961	0.9774757531010043	0.9777222915416915	0.977784603076923	0.9947989084895259	0.9934966721672167	0.9947917036625971	1.0	0.9775563614602034
P2024_Cocoa_CR	0.9779602618453865	0.9943757199100114	0.979538597785978	0.9983438592750534	0.9935287945670631	0.9790575590062112	0.9782261242236027	0.9781572653822249	0.9779801124297314	0.9769078832584991	0.9779881086142322	0.9796995317313616	0.9943500635838151	0.9946340816326532	0.9767401514195585	0.9766906028589185	0.9784193136664661	0.9780163171193936	0.9777654754505907	0.9967347153123274	0.9959006674082314	1.0	0.9950751706771126	0.9778317317380354
P2029_Cocoa_CR	0.9775855730478589	0.9944463196398424	0.9795826219512195	0.9955623679822122	0.9942296276013144	0.9778325030978934	0.9769299878123097	0.976860567419158	0.9768471621621622	0.9760582458386685	0.9768608962553715	0.9793475046324892	0.9939824468696151	0.9941697699214368	0.9760398172652802	0.9757780814312151	0.9772006630500303	0.9770114665841584	0.9779205046728972	0.9951034726143422	1.0	0.9961278217270195	0.9936126013513514	0.977008602350031
P2052_Cocoa_CR	0.9774124466750315	0.9941109843400447	0.9799108912108175	0.9973492648648649	0.9931340577249576	0.9784175911056209	0.9780922939729397	0.9780433004318323	0.9779610129709698	0.9761152248258392	0.9779435784919654	0.9791868895705521	0.9940263573487031	0.9943616713721061	0.9762181425891181	0.9761400245700247	0.977712940821256	0.9777905973864346	0.977406029593095	1.0	0.9950872346368715	0.9966991096634096	0.9950180011074197	0.977594294592915
P2176_Unknown_BE	0.9797979058240395	0.9756167046173307	0.988223406976744	0.9768455	0.9761740479192941	0.9799138498789346	0.986391450028885	0.9863455086705202	0.9863097627314814	0.9787533600988265	0.9863068945538817	0.9796236654135336	0.9754232043842681	0.977523864213198	0.9795976822429907	0.9784676339554487	0.9887654101123596	0.989358392652124	1.0	0.9767367789072428	0.9764120279720281	0.9768852281368822	0.9773197842639594	0.989175437392796
P240_SD_IT	0.9795260908547521	0.9754625620347395	0.9878994290465631	0.976914877126654	0.9759787895377129	0.9797028630952381	0.9896830727173318	0.9896555798687089	0.9895648215266337	0.978819562268804	0.989584603960396	0.9790008495145631	0.9755466666666665	0.9761120721271394	0.9800350249066003	0.9792754854079809	0.9890464255543823	1.0	0.9895129857549857	0.9764119442685244	0.9764579950186799	0.9771842361111113	0.9778150823672971	0.9999931329262565
P2711_SD_BE	0.9800606959706959	0.9761915025252524	0.9917078760045924	0.9769971061093248	0.9771585470625396	0.981535417177914	0.9881386666666668	0.9883406693594923	0.9881941836141778	0.9803653132832081	0.988203524970964	0.9806630871212122	0.978152583547558	0.9781470561652679	0.980820719745223	0.9795403229665071	1.0	0.9888584654586636	0.9892553126861228	0.9782744335937499	0.9763944144144143	0.9785115734720415	0.9778222762148336	0.9887978172588833
P2712_SD_BE	0.9922541214622642	0.9746386854153042	0.9797302857142858	0.9748588005215123	0.97738273089701	0.9888810870870871	0.9794094303405574	0.9794399317617867	0.9793826940063092	0.9920961416361417	0.9793826940063092	0.9867166541117388	0.9761620920785375	0.9758614795244387	0.9891969905956114	1.0	0.9798259330143542	0.9800112221514959	0.9781531867431484	0.9759320959264127	0.9751729673202616	0.9768325898801599	0.9760644109947645	0.9800234095238096
P2740_Qu_CN	0.9914639502602661	0.9739181408276715	0.9799777723076922	0.9755452513966479	0.9773623927905531	0.989146762295082	0.9804888099574985	0.9804540473300971	0.9804069047619046	0.9898897110849056	0.9804094566544567	0.9860360449970398	0.9756542285345384	0.9747777443609021	1.0	0.9893242272727273	0.9805376794258374	0.979784963190184	0.9793905253512525	0.975681547099189	0.9749999626400997	0.976081805728518	0.9765152852664577	0.9796110313075507
