key,P187_SD_IT,P2020_Cocoa_CR,P2024_Cocoa_CR,P2029_Cocoa_CR,P2052_Cocoa_CR,P2176_Unknown_BE,P240_SD_IT,P2711_SD_BE,P2712_SD_BE,P2740_Qu_CN,P2746_Cocoa_VN,P2763_Cocoa_VN,P2764_Cocoa_VN,P2809_Apricot_BE,P3124_LMG_BE,P3333_Amaranth_BE,P3334_WhiteCowpea_BE,P3335_RedCowpea_BE,P3378_Banana_BE,P360_Cocoa_CR,P363_Unknown_BE,P800_Unknown_BE,P815_Cocoa_CR,Reference
P187_SD_IT,1.0,0.7587665926400474,0.7283281205383965,0.7419167012751652,0.72965729546744,0.8157589660042379,0.9969341722082596,0.8762415435982137,0.7656464017915254,0.7424399006026744,0.7518601992366584,0.7328198927756093,0.7548058229375482,0.8487068884579274,0.7461913539306391,0.848843608242643,0.8524210651420673,0.8536157088846555,0.7742521573167596,0.7539550201137385,0.7303233125596374,0.8323730351329303,0.7401008086265644,0.763730487025984
P2020_Cocoa_CR,0.8109738744447342,1.0,0.8921327282654546,0.8979247027208377,0.8980216685045495,0.7864529182917681,0.8103979212148942,0.8133520904277216,0.7944697928378393,0.7798454809031209,0.8953115637169271,0.8803929860465232,0.8188298257134532,0.804779431086201,0.7717357776358642,0.8046797473680638,0.8062888162822162,0.806743572423752,0.8077512025579127,0.8990220924553275,0.8958258955903449,0.8243906958214795,0.8935420611365283,0.787980582927693
P2024_Cocoa_CR,0.8078846883321464,0.9269639557748324,1.0,0.9369010213386224,0.947917290374513,0.8142996213654707,0.807162990407518,0.8367124750319781,0.8083168101667506,0.8042546397131903,0.919326363429221,0.906796536712376,0.8240674235619662,0.81619345945495,0.789610374200216,0.8157752554162737,0.8185028807407302,0.8188592414888678,0.8194011960860353,0.9149985737265026,0.9744318708373012,0.8280485879806012,0.9249629041135896,0.8086409042437195
P2029_Cocoa_CR,0.8112432249485386,0.9156983910884252,0.9215209183851792,1.0,0.9117189903376862,0.8032040436102043,0.8110480039571677,0.8245290814561562,0.8010093811546818,0.7964127426647675,0.914570246063356,0.8978381415720492,0.8156062878298379,0.818016621920147,0.7764745407143337,0.8175790702000915,0.8207194223476396,0.8213537239984599,0.8106211422353329,0.935783683715234,0.921689459276385,0.8240374454257691,0.910962191480992,0.7912181175884684
P2052_Cocoa_CR,0.8110006553483614,0.9308527095823736,0.9489312515969252,0.9251029599851632,1.0,0.8180031012844187,0.8100954174529957,0.8305475705904786,0.8127520529207775,0.8077781892532534,0.9144735745045228,0.9035944683418302,0.8264553119805406,0.8187146069715238,0.7930795172764812,0.8188687736540637,0.8196637167806166,0.8201065611311804,0.8206936286988261,0.9134777022573244,0.9543615933970632,0.8274513693407742,0.922861305538522,0.800121065268796
P2176_Unknown_BE,0.8637434922958405,0.7760436980151435,0.7713051029053773,0.7695843064685846,0.7742239908164338,1.0,0.8622171418833336,0.8739377455868871,0.802735193127762,0.7856246568435254,0.7717920568602304,0.76356219891673,0.7836137498350317,0.8539959755880161,0.7909986569685167,0.854547306807271,0.8553046294101253,0.8561483137128333,0.807496622628204,0.7745262408467474,0.7740551441275421,0.8512319355716197,0.7750247117270661,0.7858728770751385
P240_SD_IT,0.9985129375297196,0.7563180058409663,0.7251453483671038,0.7380006526342193,0.7265404872298593,0.8155714898196857,1.0,0.8747187386444489,0.7633110309340136,0.7402912557099136,0.7495737344803182,0.7298171892050604,0.7562321161204131,0.8490367270034145,0.7435396648382372,0.8493793919458039,0.8527035519108059,0.8535349442517399,0.7741273166862203,0.7509849632387122,0.7263708953768002,0.833757724935347,0.7355939189229523,0.7628232154627357
P2711_SD_BE,0.8424688881588626,0.7328278415196452,0.7212603799413665,0.7255400884792463,0.7194633323820864,0.7985662269537196,0.8395910252608918,1.0,0.7837290361900054,0.7368673767925024,0.7256657510537959,0.7281265258189562,0.7445914110139842,0.81851581135992,0.7488645004826174,0.818152573521042,0.8238980154960482,0.8263128755763687,0.7665610347571244,0.7398745438284865,0.726494841607027,0.8317944396927299,0.7408105611595803,0.7688924412674615
P2712_SD_BE,0.7333505920610917,0.707554619384977,0.6960501663368412,0.7075454603022012,0.7038139152180608,0.7291017474367149,0.7317369963107527,0.7784204645790461,1.0,0.75194764948112,0.7001618569142083,0.684357010759441,0.7469307092895707,0.7380521180698849,0.7758295609497595,0.7380521180698849,0.7503796425605654,0.7514417927266234,0.7853252209308278,0.6971662045853693,0.7081208371989662,0.7481328062870921,0.7072274252299894,0.8030592594614713
P2740_Qu_CN,0.8138401895111258,0.7977099195910972,0.79318420878201,0.7985615373210381,0.7962865452274356,0.8114289580814701,0.8138204344662029,0.8288645124609855,0.8721040622556734,1.0,0.7938564877909934,0.7776369912068093,0.8438432151680113,0.819175164316896,0.8501271640204787,0.8191725086646637,0.8220474761916912,0.8221399632075105,0.86401872964946,0.7997466174501754,0.796823232570458,0.8134756912559101,0.7988984531826692,0.8610649039225345
P2746_Cocoa_VN,0.8089648737421854,0.9005491974431603,0.8929925492219064,0.8999205516796819,0.8847499592623734,0.788716016242153,0.8082157476882346,0.8116200562740601,0.7846572060096371,0.7797666008806782,1.0,0.9109453651120448,0.8050098967040348,0.7913261616542224,0.757814028045285,0.7914786623378455,0.7929273725600896,0.7932720138592366,0.7984447063733688,0.8822443447846516,0.898709210805634,0.8079648399015141,0.908527290998244,0.7727367352903061
